H = 	0.39375	 Volume = 	0.243	 Pressure = 	-2.84862	 Normal Contact Force = 	-3.42904
H = 	0.3925	 Volume = 	0.243	 Pressure = 	-2.8777	 Normal Contact Force = 	-3.50866
H = 	0.39125	 Volume = 	0.243	 Pressure = 	-2.90694	 Normal Contact Force = 	-3.58979
H = 	0.39	 Volume = 	0.243	 Pressure = 	-2.93645	 Normal Contact Force = 	-3.67273
H = 	0.38875	 Volume = 	0.243	 Pressure = 	-2.97032	 Normal Contact Force = 	-3.76841
H = 	0.3875	 Volume = 	0.243	 Pressure = 	-3.00439	 Normal Contact Force = 	-3.86605
H = 	0.38625	 Volume = 	0.243	 Pressure = 	-3.03867	 Normal Contact Force = 	-3.9657
H = 	0.385	 Volume = 	0.243	 Pressure = 	-3.07315	 Normal Contact Force = 	-4.06743
H = 	0.38375	 Volume = 	0.243	 Pressure = 	-3.10785	 Normal Contact Force = 	-4.17129
H = 	0.3825	 Volume = 	0.243	 Pressure = 	-3.14277	 Normal Contact Force = 	-4.27734
H = 	0.38125	 Volume = 	0.243	 Pressure = 	-3.17791	 Normal Contact Force = 	-4.38565
H = 	0.38	 Volume = 	0.243	 Pressure = 	-3.2156	 Normal Contact Force = 	-4.50297
H = 	0.38	 Volume = 	0.243	 Pressure = 	-3.2156	 Normal Contact Force = 	-4.50297
