H = 	0.394863	 Volume = 	0.243	 Pressure = 	-2.82285	 Normal Contact Force = 	-3.35935
H = 	0.394844	 Volume = 	0.243	 Pressure = 	-2.8233	 Normal Contact Force = 	-3.36057
H = 	0.394824	 Volume = 	0.243	 Pressure = 	-2.82376	 Normal Contact Force = 	-3.36178
H = 	0.394805	 Volume = 	0.243	 Pressure = 	-2.82421	 Normal Contact Force = 	-3.36299
H = 	0.394785	 Volume = 	0.243	 Pressure = 	-2.82466	 Normal Contact Force = 	-3.36421
H = 	0.394766	 Volume = 	0.243	 Pressure = 	-2.82511	 Normal Contact Force = 	-3.36542
H = 	0.394746	 Volume = 	0.243	 Pressure = 	-2.82556	 Normal Contact Force = 	-3.36664
H = 	0.394727	 Volume = 	0.243	 Pressure = 	-2.82601	 Normal Contact Force = 	-3.36785
H = 	0.394707	 Volume = 	0.243	 Pressure = 	-2.82646	 Normal Contact Force = 	-3.36907
H = 	0.394688	 Volume = 	0.243	 Pressure = 	-2.82692	 Normal Contact Force = 	-3.37028
H = 	0.394668	 Volume = 	0.243	 Pressure = 	-2.82737	 Normal Contact Force = 	-3.3715
H = 	0.394648	 Volume = 	0.243	 Pressure = 	-2.82782	 Normal Contact Force = 	-3.37271
H = 	0.394629	 Volume = 	0.243	 Pressure = 	-2.82827	 Normal Contact Force = 	-3.37393
H = 	0.394609	 Volume = 	0.243	 Pressure = 	-2.82872	 Normal Contact Force = 	-3.37515
H = 	0.39459	 Volume = 	0.243	 Pressure = 	-2.82917	 Normal Contact Force = 	-3.37636
H = 	0.39457	 Volume = 	0.243	 Pressure = 	-2.82962	 Normal Contact Force = 	-3.37758
H = 	0.394551	 Volume = 	0.243	 Pressure = 	-2.83008	 Normal Contact Force = 	-3.3788
H = 	0.394531	 Volume = 	0.243	 Pressure = 	-2.83053	 Normal Contact Force = 	-3.38002
H = 	0.394512	 Volume = 	0.243	 Pressure = 	-2.83098	 Normal Contact Force = 	-3.38124
H = 	0.394492	 Volume = 	0.243	 Pressure = 	-2.83143	 Normal Contact Force = 	-3.38246
H = 	0.394473	 Volume = 	0.243	 Pressure = 	-2.83188	 Normal Contact Force = 	-3.38368
H = 	0.394453	 Volume = 	0.243	 Pressure = 	-2.83233	 Normal Contact Force = 	-3.3849
H = 	0.394434	 Volume = 	0.243	 Pressure = 	-2.83279	 Normal Contact Force = 	-3.38612
H = 	0.394414	 Volume = 	0.243	 Pressure = 	-2.83324	 Normal Contact Force = 	-3.38734
H = 	0.394395	 Volume = 	0.243	 Pressure = 	-2.83369	 Normal Contact Force = 	-3.38856
H = 	0.394375	 Volume = 	0.243	 Pressure = 	-2.83414	 Normal Contact Force = 	-3.38978
H = 	0.394355	 Volume = 	0.243	 Pressure = 	-2.83459	 Normal Contact Force = 	-3.391
H = 	0.394336	 Volume = 	0.243	 Pressure = 	-2.83505	 Normal Contact Force = 	-3.39222
H = 	0.394316	 Volume = 	0.243	 Pressure = 	-2.8355	 Normal Contact Force = 	-3.39344
H = 	0.394297	 Volume = 	0.243	 Pressure = 	-2.83595	 Normal Contact Force = 	-3.39467
H = 	0.394277	 Volume = 	0.243	 Pressure = 	-2.8364	 Normal Contact Force = 	-3.39589
H = 	0.394258	 Volume = 	0.243	 Pressure = 	-2.83685	 Normal Contact Force = 	-3.39711
H = 	0.394238	 Volume = 	0.243	 Pressure = 	-2.83731	 Normal Contact Force = 	-3.39834
H = 	0.394219	 Volume = 	0.243	 Pressure = 	-2.83776	 Normal Contact Force = 	-3.39956
H = 	0.394199	 Volume = 	0.243	 Pressure = 	-2.83821	 Normal Contact Force = 	-3.40078
H = 	0.39418	 Volume = 	0.243	 Pressure = 	-2.83866	 Normal Contact Force = 	-3.40201
