H = 	0.97843750000000984	 Volume = 	0.32343299999999392	 Pressure = 	-0.00014722965089193	 Radial Contact Force = 	-0.00001721301261033
H = 	0.97841796875000986	 Volume = 	0.32343299999999525	 Pressure = 	-0.00014749551259356	 Radial Contact Force = 	-0.00001723734396272
H = 	0.97839843750000988	 Volume = 	0.32343299999999181	 Pressure = 	-0.00014776146822286	 Radial Contact Force = 	-0.00001726160420829
H = 	0.97837890625000989	 Volume = 	0.32343299999999325	 Pressure = 	-0.00014802759599242	 Radial Contact Force = 	-0.00001728582645549
H = 	0.97835937500000991	 Volume = 	0.32343299999999109	 Pressure = 	-0.00014829385657880	 Radial Contact Force = 	-0.00001730999392160
H = 	0.97833984375000993	 Volume = 	0.32343299999999336	 Pressure = 	-0.00014856025027588	 Radial Contact Force = 	-0.00001733410669231
H = 	0.97832031250000995	 Volume = 	0.32343299999999320	 Pressure = 	-0.00014882677737165	 Radial Contact Force = 	-0.00001735816485512
H = 	0.97830078125000997	 Volume = 	0.32343299999999164	 Pressure = 	-0.00014909338535348	 Radial Contact Force = 	-0.00001738214763427
H = 	0.97828125000000998	 Volume = 	0.32343299999999442	 Pressure = 	-0.00014936022609827	 Radial Contact Force = 	-0.00001740611399501
H = 	0.97826171875001000	 Volume = 	0.32343299999999092	 Pressure = 	-0.00014962710422740	 Radial Contact Force = 	-0.00001742998905423
H = 	0.97824218750001002	 Volume = 	0.32343299999999020	 Pressure = 	-0.00014989413561150	 Radial Contact Force = 	-0.00001745381194781
H = 	0.97822265625001004	 Volume = 	0.32343299999999409	 Pressure = 	-0.00015016139339159	 Radial Contact Force = 	-0.00001747762283410
H = 	0.97820312500001005	 Volume = 	0.32343299999999564	 Pressure = 	-0.00015042872602014	 Radial Contact Force = 	-0.00001750135466738
H = 	0.97818359375001007	 Volume = 	0.32343299999999542	 Pressure = 	-0.00015069619541915	 Radial Contact Force = 	-0.00001752503324144
H = 	0.97816406250001009	 Volume = 	0.32343299999999031	 Pressure = 	-0.00015096444887454	 Radial Contact Force = 	-0.00001754900958593
H = 	0.97814453125001011	 Volume = 	0.32343299999999398	 Pressure = 	-0.00015123358357758	 Radial Contact Force = 	-0.00001757334687350
H = 	0.97812500000001013	 Volume = 	0.32343299999999170	 Pressure = 	-0.00015150284975527	 Radial Contact Force = 	-0.00001759761000298
H = 	0.97810546875001014	 Volume = 	0.32343299999999592	 Pressure = 	-0.00015177225274560	 Radial Contact Force = 	-0.00001762183691763
H = 	0.97808593750001016	 Volume = 	0.32343299999999175	 Pressure = 	-0.00015204176977780	 Radial Contact Force = 	-0.00001764597985353
H = 	0.97806640625001018	 Volume = 	0.32343299999998631	 Pressure = 	-0.00015231140017484	 Radial Contact Force = 	-0.00001767008746942
H = 	0.97804687500001020	 Volume = 	0.32343299999999386	 Pressure = 	-0.00015258125704237	 Radial Contact Force = 	-0.00001769414521655
